key,value
site_title,Nicolas Gioanni Portfolio
site_description,"Software engineering portfolio for Nicolas Gioanni, featuring full-stack AI/ML projects, research software, teaching, and cybersecurity-focused coursework."
default_theme,navy
enable_skeletons,true
enable_scroll_motion,false
enable_glass_effects,true
enable_recommendations,true
show_empty_recommendations,true
max_home_research_items,3
max_home_project_items,3
max_home_experience_items,4
max_home_recommendation_items,3
max_home_skill_items,12
recommendations_nav_label,Recommendations
license_name,MIT
license_url,
copyright_owner,Nicolas Gioanni
repository_url,
legal_contact_email,ngioanni@uw.edu
legal_effective_date,2026-08-22
hosting_provider_name,Cloudflare
hosting_privacy_url,https://www.cloudflare.com/privacypolicy/
